,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
4422,Batu Ferringhi,House,Bungalow House,5,5,0,4478,Freehold,2412000
4423,Tanjong Tokong,Apartment / Condominium,Condominium,1,1,1,914,Freehold,995000
4424,Seberang Perai,House,2-storey Terraced House,4,3,0,2481,Freehold,660000
4425,Bayan Lepas,Apartment / Condominium,Flat,2,1,0,500,Freehold,125000
4426,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,950,Freehold,358000
4427,Butterworth,Apartment / Condominium,Apartment,3,2,1,1330,Freehold,430000
4428,Butterworth,Apartment / Condominium,Condominium,4,2,1,1290,Freehold,430000
4429,Bayan Baru,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,490000
4430,Relau,House,Semi-Detached House,4,2,0,5586,Freehold,1385000
4431,Butterworth,Apartment / Condominium,Condominium,4,2,2,1258,Freehold,426000
4432,Batu Kawan,Apartment / Condominium,Service Residence,3,2,2,726,Freehold,482000
4433,Batu Kawan,Apartment / Condominium,Service Residence,1,1,2,500,Freehold,298000
4434,Permatang Pauh,House,Bungalow House,5,3,0,3245,Freehold,650000
4435,Simpang Ampat,House,Semi-Detached House,4,3,0,3067,Freehold,700000
4436,Jelutong,Apartment / Condominium,Condominium,3,2,2,1239,Freehold,890000
4437,Simpang Ampat,House,2-storey Terraced House,4,4,0,2100,Freehold,850000
4438,Paya Terubong,Apartment / Condominium,Apartment,3,2,0,700,Freehold,150000
4439,Simpang Ampat,Commercial Property,Warehouse / Factory,0,0,0,6500,Freehold,1860000
4440,Butterworth,Apartment / Condominium,Service Residence,2,2,1,947,Freehold,530000
4441,Batu Kawan,Apartment / Condominium,Condominium,4,2,2,1180,Freehold,575000
4442,Sungai Ara,Apartment / Condominium,Apartment,3,2,1,750,Freehold,335000
4443,Simpang Ampat,Commercial Property,Shop lot,0,0,0,2684,Freehold,730000
4444,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Freehold,360000
4445,Sungai Nibong,Apartment / Condominium,Apartment,3,2,1,830,Freehold,360000
4446,Ayer Itam,Apartment / Condominium,Apartment,3,2,2,1100,Freehold,540000
4447,Permatang Pauh,House,Bungalow House,5,3,0,3245,Freehold,650000
4448,Georgetown,Apartment / Condominium,Apartment,3,2,1,800,Freehold,365000
4449,Bayan Lepas,Apartment / Condominium,Condominium,3,2,0,1020,Freehold,660000
4450,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,872,Freehold,650000
4451,Bayan Lepas,Apartment / Condominium,Condominium,2,1,0,615,Freehold,500000
4452,Bayan Lepas,Apartment / Condominium,Condominium,2,1,0,615,Freehold,520000
4453,Simpang Ampat,Land,Industrial,0,0,0,1.43,Freehold,80
4454,Simpang Ampat,House,Semi-Detached House,5,5,0,3186,Freehold,970000
4455,Teluk Kumbar,Apartment / Condominium,Apartment,2,1,0,500,Freehold,140000
4456,Nibong Tebal,House,Terraced House,4,3,0,1100,Freehold,308000
4457,Simpang Ampat,House,Semi-Detached House,4,3,0,2400,Freehold,570000
4458,Tanjung Bungah,Apartment / Condominium,Condominium,3,2,2,1360,Freehold,998000
4459,Ayer Itam,Apartment / Condominium,Apartment,3,2,2,1100,Freehold,550000
4460,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,900,Freehold,420000
4461,Sungai Ara,House,2.5-storey Terraced House,5,4,0,2369,Freehold,1199900
4462,Batu Ferringhi,House,Semi-Detached House,5,5,0,2658,Freehold,1400000
4463,Bukit Mertajam,Commercial Property,Shop lot,0,0,0,3867,Freehold,1800000
4464,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1862,Freehold,698000
4465,Simpang Ampat,House,Bungalow House,5,3,0,7200,Freehold,1200000
4466,Simpang Ampat,House,Bungalow House,5,3,0,7200,Freehold,1900000
4467,Simpang Ampat,House,Semi-Detached House,5,4,0,2236,Freehold,738000
4468,Butterworth,Commercial Property,Shop lot,0,0,0,1067,Freehold,700000
4469,Jelutong,Apartment / Condominium,Condominium,3,2,2,900,Leasehold,350000
4470,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,1,650,Freehold,165000
4471,Jelutong,Apartment / Condominium,Condominium,3,2,1,900,Leasehold,315000
4472,Jelutong,Apartment / Condominium,Condominium,3,2,2,925,Leasehold,530000
4473,Sungai Dua,Apartment / Condominium,Flat,2,1,0,549,Leasehold,109350
4474,Jelutong,Apartment / Condominium,Condominium,3,2,2,925,Leasehold,530000
4475,Butterworth,Apartment / Condominium,Apartment,3,2,1,893,Freehold,320000
4476,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,800,Leasehold,270000
4477,Permatang Pauh,House,Bungalow House,5,3,0,3245,Freehold,650000
4478,Bayan Baru,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,490000
4479,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,0,650,Leasehold,220000
4480,Butterworth,Apartment / Condominium,Condominium,4,3,2,1698,Freehold,490000
4481,Butterworth,Apartment / Condominium,Apartment,3,2,1,970,Freehold,270000
4482,Kepala Batas,House,2-storey Terraced House,4,3,0,2475,Freehold,570000
4483,Georgetown,House,Semi-Detached House,3,3,0,3600,Freehold,2000000
4484,Sungai Nibong,House,Semi-Detached House,4,3,0,3600,Freehold,1750000
4485,Gelugor,Apartment / Condominium,Condominium,3,2,2,900,Freehold,370000
4486,Tanjung Bungah,Apartment / Condominium,Condominium,3,2,1,1320,Freehold,680000
4487,Bukit Mertajam,House,2-storey Terraced House,4,3,0,2580,Freehold,548000
4488,Simpang Ampat,House,Semi-Detached House,4,4,0,6534,Freehold,900000
4489,Simpang Ampat,House,2-storey Terraced House,4,4,0,1800,Freehold,502000
4490,Teluk Kumbar,Apartment / Condominium,Apartment,3,2,0,700,Freehold,255000
4491,Batu Ferringhi,Apartment / Condominium,Condominium,3,2,2,1494,Freehold,960000
4492,Simpang Ampat,House,2.5-storey Terraced House,4,3,0,1900,Freehold,560000
4493,Simpang Ampat,House,Semi-Detached House,4,3,0,3773,Freehold,580000
4494,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1200,Freehold,698000
4495,Batu Maung,Apartment / Condominium,Apartment,2,3,0,700,Freehold,210000
4496,Simpang Ampat,Commercial Property,Shop lot,0,0,0,2800,Freehold,450000
4497,Simpang Ampat,Commercial Property,Shop lot,0,0,0,5324,Freehold,840000
4498,Simpang Ampat,House,Semi-Detached House,4,3,0,2336,Freehold,650000
4499,Butterworth,House,3-storey Terraced House,5,4,0,2770,Freehold,1080000
4500,Butterworth,Apartment / Condominium,Condominium,3,2,2,1258,Freehold,426000
4501,Simpang Ampat,House,2-storey Terraced House,4,3,0,1800,Freehold,738000
4502,Sungai Dua,House,2-storey Terraced House,4,3,0,2248,Freehold,630000
4503,Georgetown,Apartment / Condominium,Apartment,3,2,2,850,Leasehold,300000
4504,Jelutong,Apartment / Condominium,Condominium,4,3,2,1646,Freehold,850000
4505,Tanjong Tokong,Apartment / Condominium,Condominium,4,3,3,2400,Leasehold,800000
4506,Batu Ferringhi,Apartment / Condominium,Condominium,3,2,1,1090,Freehold,625000
4507,Ayer Itam,House,Semi-Detached House,5,4,0,3120,Freehold,1820000
4508,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Freehold,270000
4509,Butterworth,Commercial Property,Warehouse / Factory,0,0,0,3313,Freehold,2600000
4510,Butterworth,Apartment / Condominium,Service Residence,2,2,2,945,Freehold,510000
4511,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1270,Freehold,560000
4512,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1258,Freehold,500000
4513,Georgetown,Apartment / Condominium,Apartment,3,2,1,660,Leasehold,230000
4514,Tanjong Tokong,Apartment / Condominium,Condominium,4,3,3,2400,Leasehold,800000
4515,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Freehold,350000
4516,Greenlane,Apartment / Condominium,Apartment,3,2,1,750,Freehold,400000
4517,Greenlane,Apartment / Condominium,Apartment,3,2,1,750,Freehold,400000
4518,Greenlane,Apartment / Condominium,Apartment,2,2,1,800,Freehold,420000
4519,Sungai Ara,House,2-storey Terraced House,4,3,0,2600,Freehold,988000
4520,Jelutong,Apartment / Condominium,Condominium,3,3,2,1338,Freehold,735000
4521,Simpang Ampat,House,2-storey Terraced House,4,3,0,2000,Freehold,680000
4522,Kepala Batas,House,Terraced House,3,2,0,1540,Freehold,400000
4523,Raja Uda,Commercial Property,Shop lot,0,0,0,3337,Freehold,1590000
4524,Bayan Lepas,Apartment / Condominium,Condominium,1,1,1,440,Freehold,445000
4525,Tanjong Tokong,Apartment / Condominium,Condominium,4,2,2,1226,Freehold,745000
4526,Simpang Ampat,House,2-storey Terraced House,4,3,0,1460,Freehold,480000
4527,Simpang Ampat,House,2-storey Terraced House,4,3,0,2185,Freehold,601000
4528,Simpang Ampat,House,2-storey Terraced House,4,3,0,1980,Freehold,498000
4529,Alma,House,Semi-Detached House,4,3,0,2574,Freehold,1050000
4530,Alma,House,Semi-Detached House,4,3,0,2574,Freehold,1050000
4531,Batu Kawan,Apartment / Condominium,Condominium,3,2,3,1030,Freehold,560000
4532,Jelutong,Apartment / Condominium,Condominium,4,3,2,1646,Freehold,850000
4533,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,245000
4534,Jelutong,House,Semi-Detached House,3,2,0,3500,Freehold,1380000
4535,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,250000
4536,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,800,Leasehold,285000
4537,Gelugor,Apartment / Condominium,Condominium,3,2,1,850,Freehold,458000
4538,Simpang Ampat,House,Others,3,2,0,1000,Freehold,360000
4539,Bayan Lepas,Apartment / Condominium,Service Residence,3,2,2,1295,Freehold,525000
4540,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1000,Freehold,520000
4541,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1000,Freehold,520000
4542,Bayan Lepas,Apartment / Condominium,Condominium,4,3,2,1400,Freehold,700000
4543,Sungai Ara,Apartment / Condominium,Flat,3,2,1,630,Freehold,220000
4544,Georgetown,Apartment / Condominium,Apartment,3,2,1,650,Freehold,245000
4545,Ayer Itam,Apartment / Condominium,Apartment,3,1,1,700,Freehold,278000
4546,Jelutong,Apartment / Condominium,Apartment,3,2,1,861,Leasehold,460000
4547,Jelutong,Apartment / Condominium,Apartment,3,2,1,861,Leasehold,460000
4548,Air Tawar,House,1-storey Terraced House,3,2,0,1194,Freehold,315000
4549,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,800,Freehold,468000
4550,Ayer Itam,Apartment / Condominium,Apartment,3,2,0,624,Leasehold,238000
4551,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,0,650,Leasehold,235000
4552,Sungai Ara,Apartment / Condominium,Apartment,3,2,0,750,Freehold,360000
4553,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,1000,Freehold,520000
4554,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,1000,Freehold,520000
4555,Alma,House,Semi-Detached House,4,3,0,5220,Freehold,900000
4556,Sungai Ara,House,2-storey Terraced House,5,3,0,1680,Freehold,980000
4557,Simpang Ampat,House,Bungalow House,4,4,0,4574,Freehold,950000
4558,Simpang Ampat,House,Semi-Detached House,5,4,0,2894,Freehold,650000
4559,Simpang Ampat,House,Bungalow House,6,4,0,4542,Freehold,1101000
4560,Simpang Ampat,House,Bungalow House,5,4,0,6650,Freehold,1400000
4561,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,1047,Freehold,890000
4562,Bayan Lepas,Apartment / Condominium,Condominium,4,2,2,1450,Freehold,795000
4563,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1115,Freehold,580000
4564,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1300,Freehold,640000
