,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
0,Relau,Apartment / Condominium,Apartment,3,2,0,680,Freehold,270000
1,Permatang Pauh,Land,Residential,0,0,0,12545,Freehold,390000
2,Bukit Mertajam,Apartment / Condominium,Apartment,3,2,2,883,Freehold,378000
3,Bayan Lepas,Apartment / Condominium,Condominium,4,2,2,1140,Freehold,663900
4,Bertam,House,2-storey Terraced House,4,3,0,1480,Freehold,434999
5,Butterworth,Apartment / Condominium,Apartment,3,2,1,860,Freehold,450000
6,Bayan Lepas,Commercial Property,Warehouse / Factory,0,0,0,4280,Freehold,4500000
7,Bayan Lepas,Apartment / Condominium,Flat,3,2,0,650,Freehold,240000
8,Gelugor,Apartment / Condominium,Condominium,3,2,2,1409,Freehold,1300000
9,Perai,Apartment / Condominium,Apartment,3,2,1,753,Freehold,218000
10,Bukit Minyak,House,Semi-Detached House,3,2,0,2250,Freehold,450000
11,Ayer Itam,Apartment / Condominium,Condominium,3,2,2,936,Freehold,550000
12,Penanti,House,Terraced House,3,2,0,1485,Freehold,319999
13,Sungai Ara,Apartment / Condominium,Flat,3,2,0,670,Freehold,254999
14,Teluk Kumbar,House,Semi-Detached House,4,3,0,2983,Freehold,980000
15,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,700,Freehold,235000
16,Sungai Ara,Apartment / Condominium,Apartment,3,2,1,650,Freehold,248000
17,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,275000
18,Batu Kawan,House,Bungalow House,4,3,0,10130,Freehold,950000
19,Simpang Ampat,House,Semi-Detached House,4,4,0,3200,Freehold,699000
20,Bukit Mertajam,House,2-storey Terraced House,4,4,0,3004,Freehold,712500
21,Simpang Ampat,House,Semi-Detached House,5,5,0,3332,Freehold,785000
22,Simpang Ampat,House,Semi-Detached House,5,5,0,2400,Freehold,570000
23,Bukit Mertajam,Apartment / Condominium,Apartment,3,2,1,1044,Freehold,298000
24,Butterworth,House,3-storey Terraced House,4,5,0,1200,Freehold,620000
25,Butterworth,House,2-storey Terraced House,4,3,0,1400,Freehold,538000
26,Butterworth,Apartment / Condominium,Condominium,3,2,2,1273,Freehold,470000
27,Bertam,House,2-storey Terraced House,4,3,0,1280,Freehold,390000
28,Bukit Mertajam,House,3-storey Terraced House,5,5,0,1400,Freehold,750000
29,Alma,House,1-storey Terraced House,3,1,0,1100,Freehold,315000
30,Gelugor,Apartment / Condominium,Condominium,3,2,1,1283,Freehold,800000
31,Batu Ferringhi,House,Bungalow House,5,5,0,4200,Freehold,2800000
32,Bukit Mertajam,House,Semi-Detached House,4,3,0,2400,Freehold,790000
33,Alma,House,Terraced House,4,3,0,1540,Freehold,630000
34,Relau,House,3-storey Terraced House,6,4,0,2065,Leasehold,997000
35,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,240000
36,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Leasehold,240000
37,Permatang Pauh,House,2-storey Terraced House,4,3,0,1194,Freehold,475000
38,Batu Ferringhi,House,Bungalow House,5,5,0,4600,Freehold,3800000
39,Butterworth,Apartment / Condominium,Condominium,3,2,1,883,Freehold,265000
40,Batu Ferringhi,House,Bungalow House,5,5,0,3800,Freehold,2200000
41,Bayan Lepas,Apartment / Condominium,Condominium,2,2,2,950,Freehold,860000
42,Butterworth,Apartment / Condominium,Condominium,3,2,1,938,Freehold,355000
43,Butterworth,House,2.5-storey Terraced House,4,4,0,2880,Freehold,680000
44,Butterworth,Apartment / Condominium,Condominium,3,2,2,1119,Freehold,455000
45,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,388000
46,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1300,Freehold,620000
47,Alma,House,2-storey Terraced House,4,3,0,1300,Freehold,620000
48,Butterworth,Apartment / Condominium,Apartment,3,2,1,900,Freehold,318000
49,Butterworth,Apartment / Condominium,Apartment,2,1,0,860,Freehold,160000
50,Butterworth,Apartment / Condominium,Apartment,4,2,1,1290,Freehold,415000
51,Valdor,Commercial Property,Warehouse / Factory,0,0,0,15000,Freehold,5032800
52,Bayan Baru,Apartment / Condominium,Condominium,3,2,2,1129,Freehold,538000
53,Alma,House,Semi-Detached House,4,3,0,2574,Freehold,1100000
54,Butterworth,House,Semi-Detached House,4,3,0,3521,Freehold,1100000
55,Bagan Ajam,Commercial Property,Shop lot,0,0,0,1400,Freehold,960000
56,Jelutong,House,1-storey Terraced House,3,2,0,1560,Freehold,820000
57,Butterworth,Apartment / Condominium,Apartment,3,2,0,1070,Freehold,360000
58,Bayan Lepas,Apartment / Condominium,Others,3,3,2,2450,Freehold,980000
59,Jelutong,Apartment / Condominium,Apartment,3,2,0,700,Freehold,235000
60,Teluk Kumbar,House,Semi-Detached House,4,5,0,2983,Freehold,978000
61,Bandar Perda,House,2-storey Terraced House,4,3,0,1194,Freehold,475000
62,Butterworth,Apartment / Condominium,Condominium,3,2,1,983,Freehold,410000
63,Georgetown,House,Bungalow House,More than 10,More than 10,0,4396,Freehold,1300000
64,Bukit Mertajam,House,Terraced House,4,3,0,1600,Freehold,568000
65,Georgetown,Apartment / Condominium,Apartment,3,2,1,800,Freehold,490000
66,Butterworth,Apartment / Condominium,Apartment,3,2,1,861,Freehold,275000
67,Bukit Mertajam,House,1-storey Terraced House,3,2,0,1800,Freehold,468000
68,Ayer Itam,Apartment / Condominium,Flat,2,1,0,500,Freehold,200000
69,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1314,Freehold,728000
70,Butterworth,Apartment / Condominium,Apartment,4,2,2,1366,Freehold,430000
71,Butterworth,Apartment / Condominium,Apartment,4,2,2,1258,Freehold,426000
72,Bayan Baru,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,470000
73,Butterworth,House,Semi-Detached House,4,3,0,2040,Freehold,780000
74,Juru,Apartment / Condominium,Condominium,3,2,2,1257,Freehold,415000
75,Permatang Tinggi,House,3-storey Terraced House,5,3,0,1600,Freehold,720000
76,Tanjong Tokong,Apartment / Condominium,Condominium,4,4,2,1500,Freehold,718000
77,Tanjong Tokong,Apartment / Condominium,Condominium,4,4,2,1500,Freehold,699999
78,Butterworth,Apartment / Condominium,Condominium,4,2,2,1210,Freehold,420000
79,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,1,1250,Leasehold,620000
80,Gelugor,Apartment / Condominium,Condominium,3,2,1,700,Freehold,320000
81,Butterworth,House,3-storey Terraced House,5,5,0,2050,Freehold,759000
82,Butterworth,Apartment / Condominium,Apartment,3,2,1,1330,Freehold,430000
83,Butterworth,Apartment / Condominium,Condominium,4,2,2,1285,Freehold,450000
84,Butterworth,Apartment / Condominium,Service Residence,3,2,2,1015,Freehold,490000
85,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,850,Leasehold,500000
86,Gelugor,Apartment / Condominium,Condominium,3,3,2,1409,Freehold,1070000
87,Bukit Mertajam,Commercial Property,Shop lot,0,0,0,5700,Freehold,1280000
88,Sungai Ara,Apartment / Condominium,Apartment,3,1,0,650,Freehold,255000
89,Greenlane,Apartment / Condominium,Condominium,5,4,0,3200,Freehold,1180000
90,Gelugor,Apartment / Condominium,Condominium,3,4,0,2088,Freehold,1100000
91,Juru,Apartment / Condominium,Apartment,3,2,0,786,Freehold,2550000
92,Paya Terubong,House,Semi-Detached House,3,2,0,3224,Freehold,1200000
93,Gelugor,Apartment / Condominium,Condominium,3,4,0,2088,Freehold,1000000
94,Bayan Lepas,Apartment / Condominium,Condominium,3,2,0,872,Freehold,620000
95,Gelugor,Apartment / Condominium,Condominium,3,2,0,1114,Leasehold,650000
96,Ayer Itam,Apartment / Condominium,Apartment,3,1,1,700,Freehold,275000
97,Butterworth,Land,Residential,0,0,0,1.32,Freehold,130
98,Bertam,House,Semi-Detached House,4,3,0,2690,Freehold,630000
99,Bayan Lepas,House,Semi-Detached House,4,4,0,3000,Freehold,1318000
100,Batu Maung,Apartment / Condominium,Flat,2,1,0,560,Freehold,150000
101,Butterworth,Apartment / Condominium,Flat,3,2,1,697,Freehold,150000
102,Bukit Minyak,Land,Agricultural,0,0,0,4,Freehold,11325600
103,Bukit Minyak,Commercial Property,Warehouse / Factory,0,0,0,57600,Leasehold,16200000
104,Seberang Perai,Land,Agricultural,0,0,0,2.69,Freehold,3450000
105,Teluk Kumbar,House,Semi-Detached House,4,3,0,3000,Freehold,980000
106,Simpang Ampat,Land,Residential,0,0,0,9.11,Freehold,9500000
107,Bukit Mertajam,Land,Industrial,0,0,0,1.96,Freehold,2850000
108,Bukit Minyak,House,Semi-Detached House,4,4,0,3047,Freehold,1280000
109,Jawi,Land,Agricultural,0,0,0,250,Freehold,248000000
110,Jawi,Land,Agricultural,0,0,0,11.29,Freehold,8800000
111,Bukit Mertajam,House,Semi-Detached House,3,2,0,2250,Freehold,430000
112,Nibong Tebal,House,2-storey Terraced House,4,3,0,1200,Freehold,385000
113,Paya Terubong,Land,Agricultural,0,0,0,4,Leasehold,120000
114,Kubang Semang,House,1-storey Terraced House,3,2,0,1485,Freehold,320000
115,Gelugor,Apartment / Condominium,Service Residence,3,2,2,1652,Freehold,699000
116,Georgetown,Commercial Property,Shop lot,0,0,0,2930,Freehold,3550000
117,Gelugor,Apartment / Condominium,Condominium,3,3,3,1528,Freehold,1300000
118,Butterworth,Apartment / Condominium,Apartment,4,2,2,1330,Freehold,460000
119,Bayan Lepas,Apartment / Condominium,Flat,2,1,0,604,Freehold,210000
120,Bertam,House,Semi-Detached House,4,3,0,2690,Freehold,630000
121,Georgetown,Apartment / Condominium,Condominium,3,2,2,1000,Leasehold,470000
122,Gelugor,Apartment / Condominium,Condominium,3,3,2,1302,Freehold,870000
123,Jelutong,Apartment / Condominium,Apartment,2,2,1,620,Freehold,260000
124,Raja Uda,Commercial Property,Shop lot,0,0,0,4100,Freehold,1400000
125,Ayer Itam,Apartment / Condominium,Apartment,3,2,0,700,Freehold,268000
126,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,1080,Freehold,550000
127,Gelugor,Apartment / Condominium,Condominium,3,2,2,1022,Freehold,525000
128,Ayer Itam,Apartment / Condominium,Condominium,3,2,2,1195,Freehold,740000
129,Gelugor,Apartment / Condominium,Condominium,3,2,1,721,Freehold,280000
130,Nibong Tebal,House,1-storey Terraced House,3,1,0,960,Freehold,260000
131,Jelutong,Apartment / Condominium,Apartment,3,2,2,800,Leasehold,335000
132,Bayan Lepas,Apartment / Condominium,Condominium,2,1,0,615,Freehold,560000
133,Bayan Lepas,Apartment / Condominium,Condominium,2,1,0,615,Freehold,560000
134,Bayan Lepas,Apartment / Condominium,Condominium,3,3,0,1320,Freehold,780000
135,Bayan Lepas,Apartment / Condominium,Condominium,3,2,0,872,Freehold,600000
136,Bayan Lepas,Apartment / Condominium,Condominium,2,1,0,550,Freehold,540000
137,Bayan Lepas,Apartment / Condominium,Condominium,3,3,0,1320,Freehold,780000
138,Tasek Gelugor,Land,Residential,0,0,0,0.10,Freehold,145000
139,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,3,1300,Freehold,610000
140,Bukit Mertajam,Apartment / Condominium,Condominium,3,2,3,1190,Freehold,560000
141,Sungai Ara,Apartment / Condominium,Condominium,3,3,2,1598,Freehold,650000
142,Ayer Itam,House,1-storey Terraced House,5,3,0,2928,Freehold,1380000
143,Bukit Mertajam,House,3.5-storey Terraced House,6,5,0,3800,Freehold,1050000
144,Ayer Itam,Apartment / Condominium,Condominium,3,2,1,850,Freehold,300000
145,Sungai Bakap,Land,Commercial,0,0,0,2.09,Freehold,2367000
146,Georgetown,Apartment / Condominium,Apartment,3,2,1,650,Leasehold,245000
147,Sungai Ara,Apartment / Condominium,Apartment,3,2,1,750,Freehold,360000
148,Sungai Ara,Apartment / Condominium,Apartment,3,2,1,750,Freehold,310000
149,Gelugor,Apartment / Condominium,Condominium,3,2,1,721,Freehold,288000
150,Bayan Baru,Apartment / Condominium,Condominium,3,2,2,1250,Freehold,630000
151,Bayan Baru,Apartment / Condominium,Condominium,3,2,3,1300,Freehold,660000
152,Jelutong,Apartment / Condominium,Condominium,3,2,2,1162,Leasehold,680000
153,Jelutong,Apartment / Condominium,Condominium,3,2,2,936,Leasehold,520000
154,Jelutong,Apartment / Condominium,Condominium,3,2,2,925,Leasehold,520000
155,Bukit Mertajam,House,Semi-Detached House,4,3,0,2160,Freehold,838000
156,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1725,Freehold,615000
157,Sungai Ara,Apartment / Condominium,Condominium,3,2,3,2018,Freehold,850000
158,Jelutong,House,3-storey Terraced House,5,4,0,4445,Freehold,2600000
159,Seberang Perai,Land,Agricultural,0,0,0,1.04,Freehold,530000
160,Jelutong,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,480000
161,Jelutong,Apartment / Condominium,Condominium,3,3,2,1338,Freehold,735000
162,Bukit Mertajam,House,3-storey Terraced House,5,5,0,3323,Freehold,750000
163,Butterworth,Apartment / Condominium,Apartment,3,2,1,800,Freehold,298000
164,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,1200,Leasehold,599000
165,Batu Ferringhi,Apartment / Condominium,Condominium,3,2,2,900,Freehold,420000
166,Relau,Apartment / Condominium,Condominium,3,2,2,1161,Freehold,650000
167,Georgetown,House,Terraced House,5,4,0,2622,Freehold,2388000
168,Bukit Tengah,Commercial Property,Shop lot,0,0,0,5200,Freehold,3200000
169,Jelutong,House,Semi-Detached House,5,4,0,4445,Freehold,2600000
170,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,850,Leasehold,378000
171,Bayan Lepas,Apartment / Condominium,Apartment,3,1,1,818,Leasehold,320000
172,Juru,Apartment / Condominium,Apartment,3,2,1,873,Freehold,280000
173,Bukit Mertajam,House,Semi-Detached House,4,3,0,2590,Freehold,880000
174,Jelutong,House,Terraced House,3,2,0,2150,Freehold,2000000
175,Raja Uda,House,2-storey Terraced House,4,4,0,1660,Freehold,988000
176,Bayan Lepas,Apartment / Condominium,Condominium,4,2,2,1380,Freehold,520000
177,Bayan Baru,Apartment / Condominium,Condominium,4,2,2,1250,Freehold,630000
178,Bukit Jambul,House,3-storey Terraced House,5,4,0,2065,Leasehold,997000
179,Bukit Tengah,House,Bungalow House,6,6,0,4500,Freehold,1290000
180,Bukit Mertajam,Commercial Property,Shop lot,0,0,0,3600,Freehold,550000
181,Bukit Mertajam,House,Bungalow House,6,6,0,7000,Freehold,2800000
182,Greenlane,Apartment / Condominium,Condominium,3,1,1,700,Freehold,285000
183,Bayan Lepas,House,Bungalow House,5,7,0,4285,Freehold,4200000
184,Butterworth,Apartment / Condominium,Apartment,3,2,1,966,Freehold,318000
185,Jelutong,Apartment / Condominium,Condominium,3,2,2,1450,Freehold,840000
186,Bukit Mertajam,House,2.5-storey Terraced House,5,4,0,1540,Freehold,779000
187,Georgetown,Apartment / Condominium,Apartment,3,2,1,750,Freehold,360000
188,Ayer Itam,Apartment / Condominium,Apartment,3,2,2,750,Freehold,350000
189,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,1450,Freehold,600000
190,Butterworth,Commercial Property,Warehouse / Factory,0,0,0,5511,Freehold,2600000
191,Tanjong Tokong,Apartment / Condominium,Apartment,3,1,1,650,Freehold,310000
192,Tanjong Tokong,Apartment / Condominium,Condominium,4,3,2,1650,Leasehold,1250000
193,Jelutong,Apartment / Condominium,Apartment,2,1,1,560,Freehold,270000
194,Relau,House,3-storey Terraced House,6,4,0,2065,Leasehold,997000
195,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,1185,Freehold,695000
196,Bukit Mertajam,House,Bungalow House,6,8,0,5600,Freehold,2200000
197,Ayer Itam,House,2-storey Terraced House,4,3,0,1807,Freehold,1250000
198,Tanjong Tokong,Apartment / Condominium,Service Residence,1,1,0,799,Freehold,800000
199,Gelugor,Apartment / Condominium,Condominium,3,2,2,1130,Freehold,750000
200,Bayan Baru,Apartment / Condominium,Condominium,3,2,1,1100,Freehold,470000
201,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,1000,Freehold,580000
202,Relau,House,Semi-Detached House,5,5,0,3024,Freehold,1190000
203,Bayan Lepas,Apartment / Condominium,Apartment,3,2,2,1066,Leasehold,365000
204,Butterworth,House,Semi-Detached House,4,4,0,2676,Freehold,900000
205,Jelutong,Apartment / Condominium,Apartment,3,2,0,650,Leasehold,255000
206,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,1,750,Freehold,380000
207,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,1,750,Freehold,380000
208,Ayer Itam,Apartment / Condominium,Condominium,4,2,1,1700,Freehold,530000
209,Sungai Ara,Apartment / Condominium,Condominium,3,3,2,1598,Freehold,650000
210,Ayer Itam,Apartment / Condominium,Condominium,3,2,1,700,Freehold,370000
211,Ayer Itam,Apartment / Condominium,Condominium,3,2,2,860,Leasehold,379000
212,Jelutong,Apartment / Condominium,Condominium,3,2,0,1087,Freehold,485000
213,Bayan Baru,House,Cluster House,3,2,0,1120,Leasehold,365000
214,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,850,Leasehold,500000
215,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,850,Leasehold,498000
216,Bukit Mertajam,House,Semi-Detached House,4,3,0,3200,Freehold,720000
217,Bukit Mertajam,House,2.5-storey Terraced House,5,4,0,1320,Freehold,630000
218,Permatang Pauh,House,2-storey Terraced House,4,3,0,1194,Freehold,475000
219,Tanjung Bungah,House,Semi-Detached House,5,3,0,3000,Freehold,1220000
220,Gelugor,Apartment / Condominium,Condominium,3,3,3,1528,Freehold,1350000
221,Tanjong Tokong,House,Semi-Detached House,6,3,0,3000,Freehold,1220000
222,Jelutong,House,3-storey Terraced House,5,5,0,3000,Freehold,1700000
223,Gelugor,Apartment / Condominium,Apartment,2,2,1,700,Freehold,320000
224,Jelutong,Apartment / Condominium,Apartment,3,2,1,900,Freehold,390000
225,Gelugor,Apartment / Condominium,Condominium,3,2,1,1000,Freehold,475000
226,Jelutong,Apartment / Condominium,Condominium,3,2,0,700,Freehold,450000
227,Simpang Ampat,House,Semi-Detached House,5,5,0,2280,Freehold,570000
228,Georgetown,Apartment / Condominium,Condominium,2,2,1,950,Freehold,528000
229,Nibong Tebal,House,2-storey Terraced House,4,4,0,2679,Freehold,500000
230,Bayan Lepas,Apartment / Condominium,Service Residence,3,3,3,1708,Freehold,920000
231,Sungai Nibong,House,2-storey Terraced House,4,3,0,2000,Freehold,1200000
232,Sungai Ara,House,Semi-Detached House,4,3,0,3200,Freehold,1550000
233,Georgetown,House,Bungalow House,5,3,0,4750,Freehold,1850000
234,Sungai Ara,House,3-storey Terraced House,5,4,0,2639,Freehold,1200000
235,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1650,Freehold,668000
236,Jelutong,Apartment / Condominium,Apartment,3,2,1,861,Leasehold,460000
237,Bukit Mertajam,House,Semi-Detached House,4,3,0,2800,Freehold,860000
238,Jelutong,Apartment / Condominium,Condominium,4,4,2,1968,Freehold,1080000
239,Bukit Mertajam,House,1-storey Terraced House,3,2,0,800,Freehold,355000
240,Ayer Itam,Apartment / Condominium,Flat,2,2,0,510,Leasehold,145000
241,Butterworth,Commercial Property,Warehouse / Factory,0,0,0,5511,Freehold,2600000
242,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1460,Freehold,648000
243,Bayan Lepas,Apartment / Condominium,Condominium,3,2,0,950,Freehold,850000
244,Gelugor,Apartment / Condominium,Condominium,3,3,3,1582,Freehold,1380000
245,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Freehold,350000
246,Bukit Mertajam,House,Semi-Detached House,5,4,0,3500,Freehold,599000
247,Jelutong,Apartment / Condominium,Condominium,4,3,2,1270,Leasehold,720000
248,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1600,Freehold,550000
249,Bayan Lepas,Apartment / Condominium,Condominium,4,3,1,1450,Freehold,650000
250,Tanjung Bungah,House,3-storey Terraced House,4,4,0,3280,Freehold,2000000
251,Batu Uban,Apartment / Condominium,Condominium,3,2,2,1219,Freehold,848000
252,Georgetown,Apartment / Condominium,Condominium,4,4,2,2096,Freehold,1280000
253,Georgetown,Apartment / Condominium,Condominium,4,3,2,2200,Freehold,1250000
254,Greenlane,House,Semi-Detached House,3,2,0,5535,Freehold,2700000
255,Georgetown,Apartment / Condominium,Apartment,3,2,1,750,Freehold,319000
256,Gelugor,House,Semi-Detached House,6,6,0,3057,Freehold,2400000
257,Batu Kawan,Apartment / Condominium,Condominium,3,2,2,1030,Freehold,570000
258,Bukit Mertajam,House,2.5-storey Terraced House,4,3,0,1776,Freehold,850000
259,Sungai Ara,Apartment / Condominium,Condominium,3,2,1,1258,Freehold,540000
260,Tanjung Bungah,Apartment / Condominium,Condominium,3,3,2,1635,Freehold,1250000
261,Bukit Mertajam,House,1-storey Terraced House,3,2,0,1500,Freehold,350000
262,Sungai Ara,House,Semi-Detached House,5,5,0,3465,Freehold,1790000
263,Kepala Batas,House,Terraced House,3,2,0,1540,Freehold,400000
264,Gelugor,Apartment / Condominium,Condominium,3,2,2,850,Freehold,375000
265,Bayan Lepas,House,Bungalow House,3,2,0,4700,Freehold,2200000
266,Alma,House,Semi-Detached House,3,2,0,2800,Freehold,405000
267,Bayan Lepas,Apartment / Condominium,Condominium,3,2,2,1123,Freehold,548000
268,Prai,Apartment / Condominium,Service Residence,3,2,2,1023,Freehold,500000
269,Relau,Apartment / Condominium,Condominium,3,2,2,1161,Freehold,660000
270,Butterworth,Apartment / Condominium,Service Residence,2,2,0,947,Freehold,479000
271,Butterworth,Apartment / Condominium,Service Residence,2,2,2,974,Freehold,548000
272,Butterworth,Apartment / Condominium,Service Residence,2,2,0,945,Freehold,530000
273,Batu Ferringhi,Apartment / Condominium,Apartment,3,2,0,650,Freehold,138000
274,Gelugor,Apartment / Condominium,Condominium,3,3,3,1582,Freehold,1240000
275,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,1260,Freehold,680000
276,Jelutong,Apartment / Condominium,Apartment,3,1,1,650,Freehold,260000
277,Georgetown,Commercial Property,Shop lot,0,0,0,4139,Freehold,2700000
278,Gelugor,House,Semi-Detached House,5,5,0,3456,Freehold,2150000
279,Tanjong Tokong,Apartment / Condominium,Condominium,3,4,2,1500,Freehold,700000
280,Sungai Ara,House,2.5-storey Terraced House,5,4,0,2459,Freehold,1020000
281,Pulau Tikus,House,Semi-Detached House,5,3,0,3747,Freehold,3300000
282,Gelugor,House,Semi-Detached House,5,4,0,3993,Freehold,1782000
283,Greenlane,Apartment / Condominium,Condominium,5,5,0,2600,Freehold,1300000
284,Greenlane,House,2-storey Terraced House,4,2,0,1800,Freehold,975000
285,Nibong Tebal,House,Terraced House,2,1,0,957,Freehold,180000
286,Sungai Ara,House,Semi-Detached House,5,5,0,3465,Freehold,1800000
287,Bukit Mertajam,Apartment / Condominium,Service Residence,4,3,2,1441,Freehold,370000
288,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,1047,Freehold,820000
289,Bagan Ajam,House,Terraced House,5,4,0,2700,Freehold,1128000
290,Georgetown,Apartment / Condominium,Service Residence,2,2,0,903,Freehold,567000
291,Batu Ferringhi,Apartment / Condominium,Apartment,3,2,1,700,Freehold,338000
292,Georgetown,Apartment / Condominium,Condominium,5,5,3,10740,Freehold,5600000
293,Simpang Ampat,House,Bungalow House,5,4,0,8000,Freehold,1550000
294,Jelutong,Apartment / Condominium,Apartment,3,2,1,700,Freehold,350000
295,Jelutong,Apartment / Condominium,Apartment,3,2,2,800,Leasehold,380000
296,Batu Uban,Apartment / Condominium,Condominium,2,1,1,760,Freehold,460000
297,Bukit Mertajam,House,Bungalow House,6,5,0,4445,Freehold,1680000
298,Bandar Perda,House,2-storey Terraced House,4,2,0,1600,Freehold,430000
299,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,2,1600,Freehold,970000
300,Pulau Tikus,House,2-storey Terraced House,4,3,0,1360,Freehold,1650000
301,Bayan Baru,Apartment / Condominium,Condominium,3,2,3,1300,Freehold,660000
302,Bayan Lepas,House,Terraced House,4,4,0,3899,Freehold,1500000
303,Jelutong,Apartment / Condominium,Condominium,3,2,1,800,Freehold,380000
304,Ayer Itam,Apartment / Condominium,Apartment,3,2,1,700,Freehold,325000
305,Simpang Ampat,House,2-storey Terraced House,4,3,0,1600,Freehold,520000
306,Bukit Mertajam,House,2-storey Terraced House,4,3,0,1600,Freehold,450000
307,Simpang Ampat,Commercial Property,Shop lot,0,0,0,2640,Freehold,696255
308,Sungai Ara,House,2-storey Terraced House,4,3,0,1600,Freehold,988000
309,Tanjong Tokong,Apartment / Condominium,Condominium,3,2,1,1077,Freehold,600000
310,Georgetown,Apartment / Condominium,Condominium,5,5,4,5500,Freehold,3500000
311,Tanjong Tokong,Apartment / Condominium,Apartment,3,2,2,800,Freehold,420000
312,Prai,Apartment / Condominium,Service Residence,3,2,2,996,Freehold,475000
313,Alma,House,Bungalow House,7,6,0,6500,Freehold,3220000
314,Ayer Itam,Apartment / Condominium,Flat,3,2,0,700,Freehold,237500
315,Alma,House,Bungalow House,5,4,0,4683,Freehold,1200000
316,Alma,House,Semi-Detached House,4,3,0,4855,Freehold,950000
317,Alma,House,Bungalow House,6,6,0,7700,Freehold,2200000
318,Bukit Mertajam,House,Bungalow House,5,5,0,3200,Freehold,860000
319,Bukit Mertajam,House,Bungalow House,6,4,0,4110,Freehold,1380000
320,Alma,House,Bungalow House,5,5,0,3200,Freehold,860000
321,Butterworth,Apartment / Condominium,Apartment,3,2,1,850,Freehold,260000
322,Batu Uban,Apartment / Condominium,Condominium,2,1,1,760,Freehold,500000
323,Balik Pulau,House,3-storey Terraced House,4,4,0,2800,Freehold,900000
324,Simpang Ampat,Commercial Property,Shop lot,0,0,0,6000,Freehold,1880000
325,Alma,House,2-storey Terraced House,5,3,0,2200,Freehold,618000
326,Alma,House,Zero-Lot Bungalow,5,3,0,3150,Freehold,880000
327,Ayer Itam,Apartment / Condominium,Condominium,3,2,1,850,Freehold,360000
328,Alma,House,Bungalow House,6,5,0,7556,Freehold,3180000
329,Alma,House,Bungalow House,5,3,0,3150,Freehold,899000
330,Alma,House,Semi-Detached House,4,3,0,6103,Freehold,980000
331,Georgetown,Commercial Property,Shop lot,0,0,0,7568,Freehold,4900000
332,Georgetown,Commercial Property,Shop lot,0,0,0,5500,Freehold,3780000
333,Alma,House,Bungalow House,7,7,0,8800,Freehold,2500000
334,Bukit Mertajam,House,Semi-Detached House,3,2,0,2250,Freehold,430000
335,Bayan Lepas,Apartment / Condominium,Condominium,3,2,1,750,Freehold,390000
336,Gelugor,House,Semi-Detached House,5,6,0,3800,Freehold,2650008
337,Jelutong,Apartment / Condominium,Condominium,3,2,2,1175,Freehold,780000
338,Bukit Mertajam,House,Terraced House,3,2,0,1194,Freehold,340000
339,Georgetown,Apartment / Condominium,Apartment,3,2,1,750,Freehold,420000
340,Gelugor,House,Bungalow House,4,4,0,5582,Freehold,2600000
341,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1314,Freehold,665000
342,Jelutong,Apartment / Condominium,Condominium,3,2,2,925,Leasehold,520000
343,Georgetown,Apartment / Condominium,Apartment,3,2,2,1000,Freehold,470000
344,Sungai Ara,Apartment / Condominium,Condominium,3,3,2,1598,Freehold,688000
345,Sungai Ara,Apartment / Condominium,Apartment,3,3,2,1598,Freehold,670000
346,Sungai Ara,Apartment / Condominium,Condominium,3,2,2,1200,Freehold,628000
347,Alma,House,Semi-Detached House,4,4,0,4434,Freehold,488000
348,Bukit Mertajam,Apartment / Condominium,Flat,2,1,0,600,Leasehold,145000
349,Georgetown,Apartment / Condominium,Condominium,1,1,0,700,Freehold,400000
