property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Condominium For Sale,1020 sqft,Tropicana Ivory Sdn. Bhd.,,RM 666.67 psf,Unfurnished,,Freehold,"September, 2017",35334656,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35334656
Condominium For Sale,1320 sqft,Tropicana Ivory Sdn. Bhd.,,RM 590.91 psf,,,Freehold,"September, 2017",34063428,9 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34063428
Condominium For Sale,1020 sqft,Tropicana Ivory Sdn. Bhd.,,RM 705.88 psf,Fully Furnished,,Freehold,"September, 2017",33700314,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-33700314
Condominium For Sale,1020 sqft,Tropicana Ivory Sdn. Bhd.,,RM 647.06 psf,Partially Furnished,,Freehold,"September, 2017",34757925,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34757925
Condominium For Sale,550 sqft,Tropicana Ivory Sdn. Bhd.,,RM 981.82 psf,Fully Furnished,,Freehold,"September, 2017",34499675,9 hours ago,2,1,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34499675
Condominium For Sale,615 sqft,Tropicana Ivory Sdn. Bhd.,,RM 796.75 psf,Fully Furnished,,Freehold,"September, 2017",34569614,9 hours ago,2,1,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-34569614
Condominium For Sale,872 sqft,Tropicana Ivory Sdn. Bhd.,,RM 688.07 psf,Fully Furnished,,Freehold,"September, 2017",35040185,9 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35040185
Condominium For Sale,1020 sqft,Tropicana Ivory Sdn. Bhd.,,RM 753.92 psf,Fully Furnished,,Freehold,"September, 2017",35967802,10 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35967802
Condominium For Sale,1598 sqft,Asia Green Group,,RM 488.11 psf,Fully Furnished,,Freehold,"January, 2017",35776603,10 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-clovers-for-sale-by-michelle-chong-35776603
Condominium For Sale,1754 sqft,Tambun Indah Land Berhad,,RM 330.67 psf,Fully Furnished,,Freehold,,32142229,10 hours ago,3,2,Butterworth,https://www.propertyguru.com.my/property-listing/camellia-park-condominium-for-sale-by-michelle-chong-32142229
Condominium For Sale,1142 sqft,,,RM 429.07 psf,Partially Furnished,,Freehold,,32029328,10 hours ago,3,2,Tajung Bungah,https://www.propertyguru.com.my/property-listing/taman-leader-leader-garden-for-sale-by-michelle-chong-32029328
Service Residence For Sale,977 sqft,East Design Architect Sdn Bhd,,"RM 1,228.25 psf",Fully Furnished,,Freehold,"June, 2018",33781971,10 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/tropicana-218-macalister-for-sale-by-michelle-chong-33781971
Service Residence For Sale,729 sqft,Paramount Property,,RM 589.85 psf,,,Freehold,"November, 2019",31950009,10 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-31950009
Service Residence For Sale,726 sqft,Paramount Property,,RM 592.29 psf,,,Freehold,"November, 2019",31950032,10 hours ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-31950032
Service Residence For Sale,500 sqft,Paramount Property,,RM 640.00 psf,Partially Furnished,,Freehold,"November, 2019",33910823,10 hours ago,,1,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-33910823
Service Residence For Sale,500 sqft,Paramount Property,,RM 680.00 psf,Fully Furnished,,Freehold,"November, 2019",35095733,10 hours ago,,1,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-35095733
Service Residence For Sale,500 sqft,Paramount Property,,RM 680.00 psf,Fully Furnished,,Freehold,"November, 2019",35775533,10 hours ago,,1,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-35775533
Service Residence For Sale,500 sqft,Paramount Property,,RM 680.00 psf,Fully Furnished,,Freehold,"November, 2019",35775541,10 hours ago,,1,Batu Kawan,https://www.propertyguru.com.my/property-listing/sensasi-residential-suites-for-sale-by-michelle-chong-35775541
Condominium For Sale,1320 sqft,Tropicana Ivory Sdn. Bhd.,,RM 651.52 psf,Partially Furnished,,Freehold,"September, 2017",35967731,10 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-simon-saw-35967731
Condominium For Sale,1701 sqft,IJM LAND BERHAD,,"RM 1,134.63 psf",Fully Furnished,Middle Floor,Freehold,"January, 2014",35967630,10 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-mocole-lee-35967630
Condominium For Sale,1701 sqft,IJM LAND BERHAD,,"RM 1,234.57 psf",,Middle Floor,Freehold,"January, 2014",35967614,10 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-mocole-lee-35967614
Condominium For Sale,2200 sqft,IJM LAND BERHAD,,"RM 1,113.64 psf",Fully Furnished,Low Floor,Freehold,"January, 2014",35967595,10 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-mocole-lee-35967595
Condominium For Sale,808 sqft,,,"RM 1,632.43 psf",Partially Furnished,High Floor,Freehold,,34571850,10 hours ago,2,2,Pulau Tikus,https://www.propertyguru.com.my/property-listing/green-city-residence-for-sale-by-kk-kwok-34571850
Condominium For Sale,1241 sqft,Eastern & Oriental Berhad,,RM 958.90 psf,Partially Furnished,High Floor,Freehold,"January, 2019",35967490,11 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-pen-teo-35967490
Condominium For Sale,1615 sqft,Mah Sing Group Berhad,,"RM 1,176.47 psf",Fully Furnished,High Floor,Freehold,"December, 2017",35967549,11 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-loft-southbay-for-sale-by-jumidah-jue-35967549
Condominium For Sale,1750 sqft,Ivory Villas Sdn Bhd,,RM 457.14 psf,Partially Furnished,High Floor,Freehold,"January, 2013",35895378,11 hours ago,4,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-peak-residences-for-sale-by-kay-wong-35895378
Apartment For Sale,1600 sqft,,,RM 625.00 psf,Fully Furnished,Low Floor,Freehold,2000,35957601,11 hours ago,4,3,Georgetown,https://www.propertyguru.com.my/property-listing/28-logan-for-sale-by-kay-wong-35957601
Condominium For Sale,1600 sqft,Ivory Properties Group Sdn Bhd,,RM 556.25 psf,Fully Furnished,Low Floor,Freehold,"January, 2015",35967535,11 hours ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-latitude-for-sale-by-kk-kwok-35967535
Apartment For Sale,670 sqft,Belleview Group,,RM 552.24 psf,Partially Furnished,Middle Floor,Freehold,"January, 2006",35967520,11 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/taman-kheng-tian-for-sale-by-edwin-ng-35967520
Condominium For Sale,1600 sqft,,,RM 593.75 psf,Fully Furnished,,Freehold,"January, 1994",35967491,11 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/mutiara-villa-condominium-for-sale-by-heanry-lim-35967491
Condominium For Sale,1047 sqft,Eastern & Oriental Berhad,,RM 783.19 psf,Fully Furnished,High Floor,Freehold,"January, 2019",35967433,11 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-edwin-ng-35967433
Condominium For Sale,1000 sqft,Arte Corp,,RM 510.00 psf,Fully Furnished,Middle Floor,Leasehold,"April, 2012",35715838,11 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/the-oasis-for-sale-by-weng-sern-35715838
Condominium For Sale,900 sqft,Solaris Prestasi Sdn Bhd,,RM 408.89 psf,,,Freehold,2024,32397856,12 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/havana-beach-residences-for-sale-by-anders-ong-32397856
Condominium For Sale,900 sqft,Solaris Prestasi Sdn Bhd,,RM 408.89 psf,Unfurnished,Middle Floor,Freehold,2024,33382535,12 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/havana-beach-residences-for-sale-by-anders-ong-33382535
Condominium For Sale,850 sqft,Ideal Property Group,,RM 623.53 psf,Fully Furnished,High Floor,Leasehold,"April, 2016",35967273,12 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/i-santorini-for-sale-by-ryan-sim-35967273
Condominium For Sale,1185 sqft,Visentak Capital Sdn Bhd,,RM 599.16 psf,Unfurnished,Middle Floor,Freehold,"January, 2018",35384635,12 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/mont-residence-penang-for-sale-by-edwin-ng-35384635
Condominium For Sale,1200 sqft,Ideal Property Group,,RM 566.67 psf,,Middle Floor,Freehold,"December, 2021",35967156,12 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-amarene-ideal-vision-park-for-sale-by-kelvin-ooi-35967156
Condominium For Sale,1650 sqft,Ideal Property Group,,RM 472.73 psf,Partially Furnished,Low Floor,Freehold,"January, 2017",35656516,12 hours ago,3,3,Bayan Lepas,https://www.propertyguru.com.my/property-listing/solaria-residences-for-sale-by-edwin-ng-35656516
Condominium For Sale,800 sqft,Aspen,,RM 581.25 psf,Fully Furnished,,Freehold,"December, 2018",35033687,12 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/tri-pinnacle-for-sale-by-kalyn-tan-35033687
Condominium For Sale,1100 sqft,Ideal Property Group,,RM 577.27 psf,Unfurnished,Low Floor,Freehold,"December, 2021",35967213,13 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-amarene-ideal-vision-park-for-sale-by-sam-ng-35967213
Condominium For Sale,1100 sqft,Ideal Property Group,,RM 618.18 psf,Unfurnished,High Floor,Freehold,"December, 2021",35967197,13 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/the-amarene-ideal-vision-park-for-sale-by-sam-ng-35967197
Condominium For Sale,1450 sqft,Kay Pride Sdn Bhd (S P Setia Bhd Group),,"RM 1,227.59 psf",Partially Furnished,Middle Floor,Freehold,"January, 2017",34703894,13 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/setia-v-residences-gurney-drive-for-sale-by-low-han-boon-34703894
Condominium For Sale,1260 sqft,S P Setia Bhd,,RM 476.19 psf,Partially Furnished,High Floor,Freehold,"May, 2015",6439373,13 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/reflections-condominium-for-sale-by-low-han-boon-6439373
Condominium For Sale,1175 sqft,Airmas Group,,RM 663.83 psf,Partially Furnished,High Floor,Freehold,"December, 2019",35210809,13 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/artis-3-jelutong-penang-for-sale-by-edwin-ng-35210809
Apartment For Sale,1761 sqft,Mah Sing Group Berhad,,RM 846.11 psf,Partially Furnished,High Floor,Freehold,"April, 2016",35967130,13 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/southbay-plaza-residential-suites-for-sale-by-serena-neoh-35967130
Condominium For Sale,750 sqft,Belleview Group,,RM 570.67 psf,Partially Furnished,Middle Floor,Freehold,"January, 2003",35967114,13 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/symphony-park-for-sale-by-serena-neoh-35967114
Apartment For Sale,750 sqft,IJM Land Berhad,,RM 506.67 psf,Partially Furnished,Low Floor,Freehold,"January, 1989",35967110,13 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/taman-seri-damai-for-sale-by-serena-neoh-35967110
Condominium For Sale,1476 sqft,Exopuri Sdn Bhd,,RM 440.38 psf,Partially Furnished,Middle Floor,Freehold,"June, 2018",34364071,13 hours ago,3,3,Juru,https://www.propertyguru.com.my/property-listing/exo-residences-juru-sentral-for-sale-by-shan-yeow-34364071
Condominium For Sale,850 sqft,,,RM 403.53 psf,Partially Furnished,Middle Floor,Leasehold,"January, 1992",35967099,13 hours ago,3,2,Greenlane,https://www.propertyguru.com.my/property-listing/mewah-court-for-sale-by-serena-neoh-35967099
Apartment For Sale,700 sqft,,,RM 428.57 psf,Partially Furnished,Middle Floor,Freehold,1997,35967093,14 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/taman-cemerlang-for-sale-by-serena-neoh-35967093
Apartment For Sale,660 sqft,,,RM 303.03 psf,Unfurnished,Middle Floor,Freehold,,35959680,14 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/desa-indah-for-sale-by-kaze-kang-35959680
Condominium For Sale,2700 sqft,City Associates Group,,RM 851.85 psf,Fully Furnished,,Freehold,"January, 1998",35841618,14 hours ago,4,4,Georgetown,https://www.propertyguru.com.my/property-listing/gurney-beach-resort-for-sale-by-joe-35841618
Condominium For Sale,1249 sqft,IJM Land,,"RM 1,200.96 psf",Fully Furnished,High Floor,Freehold,2020,35842114,14 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-joe-35842114
Service Residence For Sale,1940 sqft,Sure Commerce Sdn Bhd,,RM 747.42 psf,Fully Furnished,,Freehold,,35967039,14 hours ago,4,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-jazz-residence-for-sale-by-jason-lim-35967039
Flat For Sale,650 sqft,,,RM 307.69 psf,,Ground Floor,Freehold,,35730382,16 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/flat-sungai-ara-penang-untuk-dijual-for-sale-by-mohd-termizi-35730382
Condominium For Sale,1137 sqft,,,"RM 1,055.41 psf",Fully Furnished,,Freehold,,35966861,20 hours ago,2,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-for-sale-by-anthony-liong-35966861
Condominium For Sale,1464 sqft,Jelutong Development Sdn. Bhd. (IJM Land),,RM 655.74 psf,Fully Furnished,,Leasehold,"January, 2011",35966855,20 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/summer-place-for-sale-by-anthony-liong-35966855
Condominium For Sale,850 sqft,Ideal Property Group,,RM 588.24 psf,,,Leasehold,"April, 2016",35966822,20 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/i-santorini-for-sale-by-yuki-bong-35966822
Apartment For Sale,700 sqft,,,RM 371.43 psf,Partially Furnished,,Freehold,"January, 2000",35966815,20 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/desa-bistari-batu-uban-for-sale-by-ken-loh-35966815
Apartment For Sale,900 sqft,Zubicon Sdn. Bhd.,,RM 500.00 psf,,,Leasehold,2016,35966813,20 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/the-rise-collection-2-for-sale-by-yuki-bong-35966813
Condominium For Sale,1650 sqft,OHM Group,,RM 321.21 psf,Partially Furnished,High Floor,Freehold,"January, 2014",35966812,20 hours ago,4,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-ken-loh-35966812
Condominium For Sale,1250 sqft,Chong Company Sdn. Bhd.,,RM 408.00 psf,Partially Furnished,,Freehold,"July, 2017",35966808,20 hours ago,4,2,Paya Terubong,https://www.propertyguru.com.my/property-listing/sierra-east-for-sale-by-ken-loh-35966808
Condominium For Sale,1000 sqft,Pernas Group,,RM 350.00 psf,Partially Furnished,,Freehold,"January, 1996",35966802,21 hours ago,3,2,Batu Uban,https://www.propertyguru.com.my/property-listing/e-park-condominium-for-sale-by-ken-loh-35966802
Condominium For Sale,850 sqft,Ideal Property Group,,RM 623.53 psf,,,Leasehold,"April, 2016",35966801,21 hours ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/i-santorini-for-sale-by-yuki-bong-35966801
Condominium For Sale,1000 sqft,Pernas Group,,RM 400.00 psf,Fully Furnished,Low Floor,Freehold,"January, 1994",35966797,21 hours ago,3,2,Batu Uban,https://www.propertyguru.com.my/property-listing/sunny-ville-condominium-for-sale-by-ken-loh-35966797
Apartment For Sale,850 sqft,TUNASMUDA,,RM 447.06 psf,Unfurnished,Middle Floor,Freehold,"January, 2013",35966791,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/idaman-iris-for-sale-by-ken-loh-35966791
Condominium For Sale,1244 sqft,Reka Indah Development (Penang) Sdn Bhd,,RM 506.43 psf,,,Freehold,"December, 2016",35966790,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-gan-chun-kai-35966790
Condominium For Sale,900 sqft,Brem Holding Berhad,,RM 400.00 psf,Partially Furnished,Middle Floor,Freehold,"January, 1999",35966785,21 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/gambier-heights-for-sale-by-ken-loh-35966785
Condominium For Sale,700 sqft,Pernas Group,,RM 457.14 psf,Partially Furnished,Low Floor,Freehold,"January, 1997",35966781,21 hours ago,3,2,Batu Uban,https://www.propertyguru.com.my/property-listing/n-park-condominium-for-sale-by-ken-loh-35966781
Apartment For Sale,1000 sqft,Zubicon Sdn. Bhd.,,RM 470.00 psf,Unfurnished,,Freehold,2020,35966777,21 hours ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/the-rise-collection-3-for-sale-by-poey-eugene-35966777
Condominium For Sale,1115 sqft,Ideal Property Group,,RM 529.15 psf,Partially Furnished,,Freehold,"January, 2017",35963830,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/solaria-residences-for-sale-by-poey-eugene-35963830
Apartment For Sale,700 sqft,PDC Properties Sdn Bhd,,RM 342.86 psf,Unfurnished,Middle Floor,Leasehold,"October, 2022",35966754,21 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/halaman-kenanga-for-sale-by-ken-loh-35966754
Condominium For Sale,850 sqft,Techware,,RM 441.18 psf,Fully Furnished,Low Floor,Leasehold,"January, 1998",35966744,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/villa-emas-for-sale-by-ken-loh-35966744
Condominium For Sale,1114 sqft,,,RM 402.15 psf,,,Freehold,2020,35966723,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/cozy-spacious-low-density-condominium-at-bayan-lepas-for-sale-by-yuen-khai-khoo-35966723
Apartment For Sale,800 sqft,Alor Vista Sdn Bhd,,RM 450.00 psf,Fully Furnished,High Floor,Freehold,"January, 2008",35966719,21 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/relau-vista-for-sale-by-ken-loh-35966719
Apartment For Sale,700 sqft,,,RM 450.00 psf,Fully Furnished,Low Floor,Freehold,1997,35966710,21 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/n-park-apartment-for-sale-by-ken-loh-35966710
Apartment For Sale,700 sqft,Boon Siew Group,,RM 457.14 psf,Partially Furnished,Middle Floor,Freehold,2013,35966698,21 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/centrio-avenue-for-sale-by-ken-loh-35966698
Condominium For Sale,1302 sqft,IJM LAND BERHAD,,RM 675.88 psf,Fully Furnished,,Freehold,"January, 2007",35966697,21 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/bayswater-for-sale-by-anthony-liong-35966697
Condominium For Sale,1464 sqft,Jelutong Development Sdn. Bhd. (IJM Land),,RM 648.91 psf,Fully Furnished,,Leasehold,"January, 2011",35966692,21 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/summer-place-for-sale-by-anthony-liong-35966692
Condominium For Sale,1165 sqft,GSV Development,,RM 497.85 psf,Fully Furnished,Middle Floor,Freehold,"January, 2019",35966691,21 hours ago,4,2,Relau,https://www.propertyguru.com.my/property-listing/the-golden-triangle-for-sale-by-ken-loh-35966691
Apartment For Sale,750 sqft,,,RM 426.67 psf,Partially Furnished,Low Floor,Leasehold,,35966667,21 hours ago,3,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/tanjong-court-for-sale-by-katherine-khoo-35966667
Condominium For Sale,1000 sqft,Pernas Group,,RM 390.00 psf,Fully Furnished,High Floor,Freehold,"January, 1996",35966684,22 hours ago,3,2,Batu Uban,https://www.propertyguru.com.my/property-listing/e-park-condominium-for-sale-by-ken-loh-35966684
Condominium For Sale,4586 sqft,Hunza Properties Berhad,,RM 911.47 psf,Partially Furnished,,Freehold,"December, 2010",35966683,22 hours ago,4,3,Georgetown,https://www.propertyguru.com.my/property-listing/gurney-paragon-for-sale-by-anthony-liong-35966683
Condominium For Sale,1450 sqft,Gema Intan Sdn. Bhd.,,RM 558.62 psf,Unfurnished,Middle Floor,Freehold,"January, 2016",35966670,22 hours ago,4,3,Jelutong,https://www.propertyguru.com.my/property-listing/skyview-residence-for-sale-by-steven-chee-35966670
Condominium For Sale,5100 sqft,Coronation Springs,,RM 715.69 psf,Partially Furnished,,Freehold,,35966673,22 hours ago,5,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-anthony-liong-35966673
Apartment For Sale,700 sqft,,,RM 521.43 psf,Partially Furnished,,Freehold,1998,35966672,22 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/taman-jubilee-phase-5-for-sale-by-ken-loh-35966672
Apartment For Sale,920 sqft,,,RM 353.26 psf,Fully Furnished,,Leasehold,"January, 1997",35966663,22 hours ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/pangsapuri-desa-permai-indah-for-sale-by-ken-loh-35966663
Condominium For Sale,1000 sqft,Techware Enterprise,,RM 580.00 psf,Fully Furnished,Low Floor,Leasehold,"January, 2006",35966656,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/putra-place-condominium-for-sale-by-steven-chee-35966656
Apartment For Sale,850 sqft,,,RM 411.76 psf,Partially Furnished,,Freehold,,35966650,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/puteri-indah-for-sale-by-ken-loh-35966650
Condominium For Sale,2174 sqft,IJM LAND BERHAD,,"RM 1,149.95 psf",Fully Furnished,High Floor,Freehold,"January, 2015",35966641,22 hours ago,4,5,Gelugor,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-hao-tan-35966641
Condominium For Sale,700 sqft,,,RM 385.71 psf,Fully Furnished,,Freehold,"January, 1998",35966636,22 hours ago,3,2,Bukit Jambul,https://www.propertyguru.com.my/property-listing/bj-court-condominium-for-sale-by-ken-loh-35966636
Apartment For Sale,700 sqft,Chong Company Sdn. Bhd.,,RM 385.71 psf,Unfurnished,High Floor,Freehold,,35966638,22 hours ago,3,2,Relau,https://www.propertyguru.com.my/property-listing/sri-aman-block-c-for-sale-by-steven-chee-35966638
Apartment For Sale,800 sqft,Alor Vista Sdn Bhd,,RM 431.25 psf,Fully Furnished,,Freehold,"January, 2008",35966622,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/relau-vista-for-sale-by-ken-loh-35966622
Condominium For Sale,1464 sqft,Jelutong Development Sdn. Bhd. (IJM Land),,RM 648.91 psf,Unfurnished,Low Floor,Leasehold,"January, 2011",35966612,22 hours ago,4,3,Jelutong,https://www.propertyguru.com.my/property-listing/summer-place-for-sale-by-steven-chee-35966612
Apartment For Sale,660 sqft,,,RM 333.33 psf,Partially Furnished,,Freehold,,35966614,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/desa-indah-for-sale-by-ken-loh-35966614
Condominium For Sale,900 sqft,Ideal Property Group,,RM 477.78 psf,Unfurnished,Middle Floor,Freehold,"January, 2019",35966602,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/one-foresta-bayan-lepas-for-sale-by-ken-loh-35966602
Apartment For Sale,550 sqft,,,RM 400.00 psf,Fully Furnished,Middle Floor,Leasehold,1999,35966588,22 hours ago,2,1,Ayer Itam,https://www.propertyguru.com.my/property-listing/desa-mawar-for-sale-by-ken-loh-35966588
Apartment For Sale,678 sqft,,,RM 427.73 psf,Unfurnished,Middle Floor,,1992,33904515,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/seri-nibung-bukit-jambul-for-sale-by-gorrdan-lee-33904515
Flat For Sale,850 sqft,,,RM 258.82 psf,Partially Furnished,High Floor,Leasehold,,35966482,22 hours ago,3,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/taman-terubong-jaya-for-sale-by-katherine-khoo-35966482
Apartment For Sale,700 sqft,Heavenly Heritage Sdn Bhd,,RM 400.00 psf,Fully Furnished,Middle Floor,Freehold,,35966574,22 hours ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/lavender-park-for-sale-by-ken-loh-35966574
Apartment For Sale,700 sqft,Belleview Group,,RM 457.14 psf,Unfurnished,,Freehold,"January, 2012",35966556,22 hours ago,3,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/melody-homes-for-sale-by-ken-loh-35966556
Condominium For Sale,2280 sqft,IJM LAND BERHAD,,"RM 1,074.56 psf",Fully Furnished,Ground Floor,Freehold,"January, 2014",35966547,22 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-hao-tan-35966547
Condominium For Sale,1050 sqft,Ideal Property Group,,RM 519.05 psf,Fully Furnished,Middle Floor,Freehold,"January, 2016",35966545,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-ken-loh-35966545
Condominium For Sale,2314 sqft,IJM Land Berhad,,RM 734.66 psf,Fully Furnished,,Freehold,"January, 2010",35966537,22 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/platino-luxury-condominium-penang-for-sale-by-s-j-foo-35966537
Apartment For Sale,750 sqft,Sri Tunas Sdn Bhd,,RM 440.00 psf,Partially Furnished,,Freehold,"October, 2022",35966527,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/idaman-lavender-3-for-sale-by-ken-loh-35966527
Condominium For Sale,1080 sqft,Reka Indah Development (Penang) Sdn Bhd,,RM 509.26 psf,,,Freehold,"December, 2016",35966534,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-gan-chun-kai-35966534
Condominium For Sale,2659 sqft,IJM Land Berhad,,RM 639.34 psf,Fully Furnished,,Freehold,"January, 2010",35966524,22 hours ago,3,3,Gelugor,https://www.propertyguru.com.my/property-listing/platino-luxury-condominium-penang-for-sale-by-s-j-foo-35966524
Condominium For Sale,900 sqft,,,RM 394.44 psf,,,Freehold,"January, 2000",35966489,22 hours ago,3,2,Batu Ferringhi,https://www.propertyguru.com.my/property-listing/eden-seaview-condominium-for-sale-by-steven-chee-35966489
Condominium For Sale,1200 sqft,Ideal Property Group,,RM 916.67 psf,Unfurnished,Middle Floor,Freehold,2022,33934926,22 hours ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/queens-residences-queens-waterfront-for-sale-by-hao-tan-33934926
