property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Condominium For Sale,901 sqft,Eco Meadows Sdn Bhd,,RM 621.53 psf,Fully Furnished,,Freehold,"January, 2020",35961706,1 day ago,3,2,Simpang Ampat,https://www.propertyguru.com.my/property-listing/eco-bloom-for-sale-by-janet-teo-35961706
Condominium For Sale,1140 sqft,Prima Jadi Sdn. Bhd.,,RM 320.18 psf,Partially Furnished,,Freehold,"December, 2017",35961587,1 day ago,3,2,Simpang Ampat,https://www.propertyguru.com.my/property-listing/royale-infinity-for-sale-by-janet-teo-35961587
Apartment For Sale,624 sqft,,,RM 256.41 psf,,,,,35956236,1 day ago,3,1,Bukit Mertajam,https://www.propertyguru.com.my/property-listing/hot-location-aprtment-permata-bandar-perda-bukit-mertajam-for-sale-by-mohd-idham-bin-mohd-sharif-35956236
Condominium For Sale,1409 sqft,BSG Property,,RM 755.15 psf,,,Freehold,2019,35354668,1 day ago,3,2,Gelugor,https://www.propertyguru.com.my/property-listing/middleton-minden-heights-for-sale-by-edwin-ong-35354668
Condominium For Sale,1241 sqft,Eastern & Oriental Berhad,,RM 870.27 psf,Unfurnished,,Freehold,"January, 2019",33354993,1 day ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-fred-lim-33354993
Condominium For Sale,1260 sqft,Masmeyer Development Sdn. Bhd.,,RM 634.13 psf,Fully Furnished,Middle Floor,Leasehold,"January, 2016",35960282,1 day ago,4,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/marinox-sky-villas-for-sale-by-eugene-ye-tan-35960282
Condominium For Sale,1200 sqft,Ideal Property Group,,RM 449.17 psf,Unfurnished,Middle Floor,Freehold,"January, 2016",35352697,2 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-camillus-chai-35352697
Condominium For Sale,1246 sqft,Asia Green Group,,RM 642.05 psf,Unfurnished,Low Floor,Freehold,"March, 2021",35952746,2 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/quaywest-residence-for-sale-by-alicia-poh-35952746
Condominium For Sale,925 sqft,IJM LAND BERHAD,,RM 637.84 psf,Partially Furnished,Middle Floor,Leasehold,"January, 2017",35952608,2 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/the-spring-for-sale-by-camillus-chai-35952608
Condominium For Sale,1182 sqft,GSD Land (M) Sdn. Bhd.,,RM 383.93 psf,Partially Furnished,Low Floor,Freehold,"January, 2015",35405535,2 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/sierra-residences-for-sale-by-billion-chin-35405535
